Intensity_economia,Polarization_economia,Subjectivity_economia,Intensity_gimnasio,Polarization_gimnasio,gimnasio,sanitas,adeslas,decathlon,IBEX35_close,crecimiento,date
0.392,0.272,0.049,0.526,0.385,0.667,0.667,0.5,0.013999999999999999,0.6579999999999999,0.5,2014-01-29
0.392,0.264,0.068,0.498,0.381,0.667,0.667,0.5,0.013999999999999999,0.67,0.5,2014-01-30
0.419,0.313,0.14800000000000002,0.514,0.39799999999999996,0.667,0.667,0.5,0.013999999999999999,0.662,0.5,2014-01-31
0.44299999999999995,0.28800000000000003,0.133,0.565,0.4,0.667,0.667,0.5,0.013999999999999999,0.628,0.5,2014-02-01
0.391,0.225,0.07400000000000001,0.48100000000000004,0.39,0.667,0.667,0.375,0.043,0.628,0.5,2014-02-02
0.425,0.278,0.111,0.483,0.373,0.667,0.667,0.375,0.043,0.628,0.5,2014-02-03
0.433,0.284,0.06,0.48100000000000004,0.36700000000000005,0.667,0.667,0.375,0.043,0.633,0.5,2014-02-04
0.39299999999999996,0.245,0.11,0.484,0.377,0.667,0.667,0.375,0.043,0.637,0.5,2014-02-05
0.44299999999999995,0.273,0.047,0.467,0.36700000000000005,0.667,0.667,0.375,0.043,0.67,0.5,2014-02-06
0.426,0.261,0.08199999999999999,0.535,0.406,0.667,0.667,0.375,0.043,0.688,0.5,2014-02-07
0.406,0.257,0.071,0.48100000000000004,0.38299999999999995,0.667,0.667,0.375,0.043,0.6729999999999999,0.5,2014-02-08
0.408,0.27,0.091,0.512,0.369,0.667,0.667,0.375,0.043,0.6729999999999999,0.5,2014-02-09
0.449,0.271,0.075,0.519,0.382,0.667,0.667,0.375,0.043,0.6729999999999999,0.5,2014-02-10
0.457,0.26899999999999996,0.051,0.522,0.38,0.667,0.667,0.375,0.043,0.6920000000000001,0.5,2014-02-11
0.435,0.282,0.057,0.49200000000000005,0.395,0.667,0.667,0.375,0.043,0.69,0.5,2014-02-12
0.44799999999999995,0.281,0.057,0.498,0.386,0.667,0.667,0.375,0.043,0.693,0.5,2014-02-13
0.419,0.264,0.08199999999999999,0.58,0.42,0.667,0.667,0.375,0.043,0.6990000000000001,0.5,2014-02-14
0.401,0.3,0.09300000000000001,0.506,0.382,0.667,0.667,0.375,0.043,0.6970000000000001,0.5,2014-02-15
0.431,0.289,0.054000000000000006,0.486,0.371,0.667,0.667,0.375,0.043,0.6970000000000001,0.5,2014-02-16
0.445,0.27699999999999997,0.1,0.517,0.387,0.667,0.667,0.375,0.043,0.6970000000000001,0.5,2014-02-17
0.433,0.27699999999999997,0.068,0.521,0.386,0.667,0.667,0.375,0.043,0.6829999999999999,0.5,2014-02-18
0.466,0.294,0.091,0.56,0.40399999999999997,0.667,0.667,0.375,0.043,0.685,0.5,2014-02-19
0.44,0.303,0.07,0.501,0.39899999999999997,0.667,0.667,0.375,0.043,0.687,0.5,2014-02-20
0.4,0.22699999999999998,0.07200000000000001,0.5379999999999999,0.369,0.667,0.667,0.375,0.043,0.688,0.5,2014-02-21
0.413,0.27,0.025,0.555,0.40299999999999997,0.667,0.667,0.375,0.043,0.7090000000000001,0.5,2014-02-22
0.36,0.251,0.135,0.44799999999999995,0.376,0.667,0.667,0.375,0.043,0.7090000000000001,0.5,2014-02-23
0.41,0.281,0.059000000000000004,0.5589999999999999,0.39299999999999996,0.667,0.667,0.375,0.043,0.7090000000000001,0.5,2014-02-24
0.457,0.271,0.055,0.585,0.43,0.667,0.667,0.375,0.043,0.718,0.5,2014-02-25
0.446,0.28300000000000003,0.14300000000000002,0.52,0.391,0.667,0.667,0.375,0.043,0.715,0.5,2014-02-26
0.408,0.287,0.067,0.505,0.376,0.667,0.667,0.375,0.043,0.7040000000000001,0.5,2014-02-27
0.441,0.271,0.033,0.493,0.376,0.667,0.667,0.375,0.043,0.696,0.5,2014-02-28
0.391,0.27699999999999997,0.055999999999999994,0.505,0.364,0.667,0.667,0.375,0.043,0.655,0.5,2014-03-01
0.363,0.24,0.126,0.44,0.361,0.5,0.667,0.375,0.087,0.655,0.5,2014-03-02
0.38,0.23600000000000002,0.079,0.505,0.373,0.5,0.667,0.375,0.087,0.655,0.5,2014-03-03
0.418,0.276,0.067,0.48700000000000004,0.376,0.5,0.667,0.375,0.087,0.698,0.5,2014-03-04
0.431,0.257,0.081,0.52,0.38,0.5,0.667,0.375,0.087,0.713,0.5,2014-03-05
0.45,0.28800000000000003,0.094,0.529,0.39399999999999996,0.5,0.667,0.375,0.087,0.7290000000000001,0.5,2014-03-06
0.46299999999999997,0.257,0.07400000000000001,0.542,0.392,0.5,0.667,0.375,0.087,0.7040000000000001,0.5,2014-03-07
0.44,0.256,0.07200000000000001,0.504,0.39399999999999996,0.5,0.667,0.375,0.087,0.71,0.5,2014-03-08
0.38,0.255,0.126,0.547,0.439,0.5,0.667,0.375,0.087,0.71,0.5,2014-03-09
0.374,0.244,0.077,0.499,0.355,0.5,0.667,0.375,0.087,0.71,0.5,2014-03-10
0.41200000000000003,0.25,0.033,0.525,0.389,0.5,0.667,0.375,0.087,0.7040000000000001,0.5,2014-03-11
0.447,0.281,0.026000000000000002,0.516,0.381,0.5,0.667,0.375,0.087,0.688,0.5,2014-03-12
0.447,0.298,0.11199999999999999,0.537,0.396,0.5,0.667,0.375,0.087,0.667,0.5,2014-03-13
0.428,0.301,0.125,0.55,0.374,0.5,0.667,0.375,0.087,0.643,0.5,2014-03-14
0.371,0.284,0.05,0.504,0.39399999999999996,0.5,0.667,0.375,0.087,0.672,0.5,2014-03-15
0.44,0.27,0.045,0.621,0.446,0.5,0.667,0.375,0.087,0.672,0.5,2014-03-16
0.46399999999999997,0.258,0.07,0.537,0.408,0.5,0.667,0.375,0.087,0.672,0.5,2014-03-17
0.442,0.27,0.017,0.491,0.374,0.5,0.667,0.375,0.087,0.685,0.5,2014-03-18
0.466,0.29,0.075,0.466,0.371,0.5,0.667,0.375,0.087,0.6920000000000001,0.5,2014-03-19
0.424,0.262,0.062,0.512,0.392,0.5,0.667,0.375,0.087,0.69,0.5,2014-03-20
0.42100000000000004,0.27699999999999997,0.046,0.499,0.382,0.5,0.667,0.375,0.087,0.685,0.5,2014-03-21
0.44299999999999995,0.273,0.021,0.514,0.379,0.5,0.667,0.375,0.087,0.6609999999999999,0.5,2014-03-22
0.391,0.267,0.075,0.609,0.423,0.5,0.667,0.375,0.087,0.6609999999999999,0.5,2014-03-23
0.433,0.276,0.095,0.5,0.379,0.5,0.667,0.375,0.087,0.6609999999999999,0.5,2014-03-24
0.425,0.27,0.08199999999999999,0.502,0.35600000000000004,0.5,0.667,0.375,0.087,0.674,0.5,2014-03-25
0.431,0.265,0.057999999999999996,0.47600000000000003,0.359,0.5,0.667,0.375,0.087,0.7,0.5,2014-03-26
0.44299999999999995,0.266,0.044000000000000004,0.49,0.39299999999999996,0.5,0.667,0.375,0.087,0.71,0.5,2014-03-27
0.45399999999999996,0.266,0.091,0.531,0.386,0.5,0.667,0.375,0.087,0.733,0.5,2014-03-28
0.431,0.27,0.043,0.509,0.396,0.5,0.667,0.375,0.087,0.735,0.5,2014-03-29
0.418,0.256,0.077,0.457,0.361,0.5,0.667,0.375,0.087,0.735,0.5,2014-03-30
0.43700000000000006,0.307,0.1,0.48200000000000004,0.392,0.5,0.667,0.375,0.087,0.735,0.5,2014-03-31
0.465,0.27,0.028999999999999998,0.51,0.363,0.5,0.667,0.375,0.087,0.7559999999999999,0.5,2014-04-01
0.46,0.27699999999999997,0.054000000000000006,0.513,0.39399999999999996,0.41700000000000004,0.667,0.25,0.087,0.752,0.5,2014-04-02
0.44799999999999995,0.273,0.081,0.469,0.36200000000000004,0.41700000000000004,0.667,0.25,0.087,0.777,0.5,2014-04-03
0.445,0.26899999999999996,0.05,0.47200000000000003,0.35,0.41700000000000004,0.667,0.25,0.087,0.794,0.5,2014-04-04
0.387,0.252,0.055,0.462,0.38,0.41700000000000004,0.667,0.25,0.087,0.7809999999999999,0.5,2014-04-05
0.41100000000000003,0.252,0.055,0.605,0.397,0.41700000000000004,0.667,0.25,0.087,0.7809999999999999,0.5,2014-04-06
0.414,0.265,0.009000000000000001,0.52,0.39,0.41700000000000004,0.667,0.25,0.087,0.7809999999999999,0.5,2014-04-07
0.41600000000000004,0.267,0.084,0.498,0.373,0.41700000000000004,0.667,0.25,0.087,0.759,0.5,2014-04-08
0.43,0.265,0.055,0.53,0.37799999999999995,0.41700000000000004,0.667,0.25,0.087,0.76,0.5,2014-04-09
0.447,0.264,0.054000000000000006,0.47200000000000003,0.361,0.41700000000000004,0.667,0.25,0.087,0.7340000000000001,0.5,2014-04-10
0.429,0.26,0.077,0.52,0.38299999999999995,0.41700000000000004,0.667,0.25,0.087,0.7120000000000001,0.5,2014-04-11
0.41100000000000003,0.259,0.001,0.44799999999999995,0.36,0.41700000000000004,0.667,0.25,0.087,0.7090000000000001,0.5,2014-04-12
0.41600000000000004,0.264,0.040999999999999995,0.508,0.361,0.41700000000000004,0.667,0.25,0.087,0.7090000000000001,0.5,2014-04-13
